timestamp,rain_spread_cm,waste_spread_cm,precipitation_mm,rain_intensity
2026-05-07T14:10:24,6,3,0.0,brak
2026-05-07T14:18:08,47,1,0.0,brak
2026-05-07T15:20:52,106,0,0.0,brak
2026-05-07T15:23:25,110,0,0.0,brak
2026-05-07T15:25:57,35,0,0.0,brak
2026-05-07T15:32:21,19,0,0.0,brak
2026-05-07T15:33:38,130,1,0.0,brak
2026-05-07T15:40:02,14,0,0.0,brak
2026-05-07T15:41:19,144,0,0.0,brak
2026-05-07T15:42:35,132,0,0.0,brak
2026-05-07T15:45:08,42,1,0.0,brak
2026-05-07T15:54:04,47,1,0.0,brak
2026-05-07T15:55:22,47,0,0.0,brak
2026-05-07T15:56:38,7,0,0.0,brak
2026-05-07T15:57:57,144,0,0.0,brak
2026-05-07T15:59:14,27,0,0.0,brak
2026-05-07T16:01:47,12,0,0.0,brak
2026-05-07T16:06:56,48,0,0.0,brak
2026-05-07T16:08:13,10,0,0.0,brak
2026-05-07T16:10:46,48,0,0.0,brak
2026-05-07T16:13:20,50,0,0.0,brak
2026-05-07T16:23:34,154,0,0.0,brak
2026-05-07T16:35:07,9,0,0.0,brak
2026-05-07T16:40:14,9,0,0.0,brak
2026-05-07T16:42:47,142,0,0.0,brak
2026-05-07T16:47:56,144,0,0.0,brak
2026-05-07T19:36:46,143,1,0.0,brak
2026-05-07T19:48:17,142,0,0.0,brak
2026-05-07T19:50:51,141,0,0.0,brak
2026-05-07T19:53:25,126,0,0.0,brak
2026-05-07T20:17:47,142,0,0.0,brak
2026-05-07T20:20:20,128,1,0.0,brak
2026-05-07T20:22:54,142,1,0.0,brak
2026-05-07T20:25:27,49,0,0.0,brak
2026-05-07T20:30:34,142,0,0.0,brak
2026-05-07T20:33:08,149,0,0.0,brak
2026-05-07T20:36:58,142,0,0.0,brak
2026-05-07T20:38:16,6,0,0.0,brak
2026-05-07T20:39:33,132,1,0.0,brak
2026-05-07T20:40:50,140,0,0.0,brak
2026-05-07T20:43:23,141,69,0.0,brak
2026-05-07T21:33:18,238,0,0.0,brak
2026-05-07T21:35:52,28,1,0.0,brak
2026-05-07T21:38:25,22,1,0.0,brak
2026-05-07T21:39:42,149,1,0.0,brak
2026-05-07T21:44:49,147,0,0.0,brak
2026-05-07T21:46:05,112,1,0.0,brak
2026-05-07T21:48:38,149,1,0.0,brak
2026-05-07T21:49:55,109,1,0.0,brak
2026-05-07T21:51:13,133,1,0.0,brak
2026-05-07T21:55:04,112,1,0.0,brak
2026-05-07T22:02:45,187,1,0.0,brak
2026-05-07T22:04:01,7,1,0.0,brak
2026-05-07T22:11:41,6,1,0.0,brak
2026-05-07T22:14:16,125,1,0.0,brak
2026-05-07T22:18:05,8,1,0.0,brak
2026-05-07T22:24:29,98,1,0.0,brak
2026-05-07T22:33:25,136,1,0.0,brak
2026-05-07T22:37:15,122,0,0.0,brak
2026-05-07T22:44:56,107,0,0.0,brak
2026-05-07T22:50:01,6,0,0.0,brak
