2026-05-10 00:20:47 INFO Pomiar: deszczówka=141 cm (14%), szambo=75 cm (54%)
2026-05-10 00:22:04 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:23:21 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:24:38 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:25:54 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:27:10 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:28:26 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:29:43 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:30:59 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:32:15 INFO Pomiar: deszczówka=141 cm (14%), szambo=75 cm (54%)
2026-05-10 00:33:32 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:34:48 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:36:05 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:37:22 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:38:39 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:39:55 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:41:12 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:42:28 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:43:45 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:45:01 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:46:18 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:47:35 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:48:51 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:48:51 INFO Nowe minimum odległości Waste: 24 cm (poprzednie: 75 cm)
2026-05-10 00:50:07 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:51:24 INFO Pomiar: deszczówka=141 cm (14%), szambo=75 cm (54%)
2026-05-10 00:52:40 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:53:56 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:55:12 INFO Pomiar: deszczówka=141 cm (14%), szambo=75 cm (54%)
2026-05-10 00:56:29 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:57:45 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 00:59:01 INFO Pomiar: deszczówka=141 cm (14%), szambo=75 cm (54%)
2026-05-10 01:00:17 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 01:01:33 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 01:02:50 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 01:04:06 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 01:05:23 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 01:06:40 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 01:07:56 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 01:09:13 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 01:10:29 INFO Pomiar: deszczówka=142 cm (13%), szambo=76 cm (54%)
2026-05-10 01:11:46 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 01:13:02 INFO Pomiar: deszczówka=141 cm (14%), szambo=75 cm (54%)
